Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
XLP,Sell to Open,04/26/2024,44,$78.00,$2.40,$0.01,$4.80,5%,,N,$76.15,3.16%,26.81%,2.43%
ARKF,Sell to Open,04/19/2024,37,$31.00,$0.95,$0.90,$1.00,15%,,N,$30.08,3.16%,32.02%,3.06%
XLC,Sell to Open,04/26/2024,44,$85.00,$2.52,$0.25,$4.80,5%,,N,$80.28,3.15%,26.7%,5.88%
XME,Sell to Open,04/19/2024,37,$62.00,$1.77,$0.05,$3.50,8%,,N,$57.08,3.11%,31.53%,8.62%
XPEV,Sell to Open,04/26/2024,44,$13.00,$0.31,$0.29,$0.33,84%,03/19/2024,Y,$10.00,3.1%,26.31%,30%
RIOT,Sell to Open,04/26/2024,44,$22.50,$0.36,$0.25,$0.47,65%,05/09/2024,N,$11.73,3.07%,26.05%,91.82%
TDOC,Sell to Open,04/26/2024,44,$18.50,$0.44,$0.30,$0.60,14%,04/24/2024,Y,$15.14,2.97%,25.23%,22.19%
COIN,Sell to Open,04/26/2024,44,$390.00,$7.02,$6.65,$7.40,46%,05/02/2024,N,$251.73,2.79%,23.69%,54.93%
XLB,Sell to Open,04/26/2024,44,$95.00,$2.52,$0.05,$5.00,7%,,N,$91.24,2.77%,23.49%,4.12%
TGTX,Sell to Open,04/26/2024,44,$20.00,$0.42,$0.30,$0.55,11%,04/29/2024,N,$15.73,2.7%,22.93%,27.15%
LCID,Sell to Open,04/26/2024,44,$4.00,$0.07,$0.06,$0.09,47%,05/08/2024,N,$2.80,2.68%,22.74%,42.86%
W,Sell to Open,04/26/2024,44,$80.00,$1.70,$1.62,$1.79,22%,05/02/2024,N,$64.42,2.65%,22.47%,24.19%
SMCI,Sell to Open,04/26/2024,44,"$1,820.00",$31.05,$28.40,$33.70,51%,04/30/2024,N,"$1,188.07",2.61%,22.18%,53.19%
CPNG,Sell to Open,04/26/2024,44,$21.50,$0.51,$0.28,$0.74,11%,05/07/2024,N,$19.62,2.6%,22.06%,9.58%
EEM,Sell to Open,04/26/2024,44,$42.50,$1.03,$0.07,$1.99,7%,,N,$41.23,2.5%,21.21%,3.08%
FUTU,Sell to Open,04/26/2024,44,$80.00,$1.63,$1.36,$1.90,25%,03/14/2024,Y,$65.40,2.49%,21.16%,22.32%
CVNA,Sell to Open,04/26/2024,44,$110.00,$1.97,$1.81,$2.13,2%,05/02/2024,N,$79.67,2.47%,20.99%,38.07%
PLL,Sell to Open,04/19/2024,37,$18.00,$0.32,$0.30,$0.35,85%,05/02/2024,N,$13.27,2.45%,24.83%,35.64%
UNG,Sell to Open,04/26/2024,44,$18.00,$0.36,$0.18,$0.55,14%,,N,$14.91,2.45%,20.78%,20.72%
RIVN,Sell to Open,04/26/2024,44,$16.00,$0.28,$0.27,$0.30,47%,05/07/2024,N,$11.71,2.43%,20.66%,36.64%
STM,Sell to Open,04/19/2024,37,$50.00,$1.14,$1.10,$1.20,10%,04/25/2024,N,$47.61,2.42%,24.49%,5.02%
DBX,Sell to Open,04/26/2024,44,$25.00,$0.57,$0.50,$0.65,30%,05/02/2024,N,$24.03,2.39%,20.31%,4.04%
GEN,Sell to Open,04/19/2024,37,$27.00,$0.52,$0.30,$0.75,8%,05/09/2024,N,$22.11,2.37%,24.07%,22.12%
METC,Sell to Open,04/19/2024,37,$22.00,$0.40,$0.35,$0.45,68%,05/02/2024,N,$17.10,2.34%,23.72%,28.65%
XHB,Sell to Open,04/26/2024,44,$116.00,$2.50,$0.15,$4.85,12%,,N,$106.87,2.34%,19.86%,8.54%
UPST,Sell to Open,04/26/2024,44,$35.00,$0.58,$0.55,$0.62,5%,05/07/2024,N,$25.15,2.33%,19.74%,39.17%
CHWY,Sell to Open,04/26/2024,44,$26.00,$0.42,$0.40,$0.44,73%,03/20/2024,Y,$17.99,2.33%,19.82%,44.52%
VSCO,Sell to Open,04/19/2024,37,$22.00,$0.45,$0.40,$0.50,68%,06/05/2024,N,$19.42,2.32%,23.49%,13.29%
GUSH,Sell to Open,04/19/2024,37,$41.00,$0.85,$0.70,$1.00,6%,,N,$36.92,2.3%,23.34%,11.05%
PTCT,Sell to Open,04/19/2024,37,$39.00,$0.70,$0.05,$1.35,49%,04/25/2024,N,$30.79,2.27%,23.05%,26.66%
AFRM,Sell to Open,04/26/2024,44,$55.00,$0.87,$0.82,$0.93,18%,05/07/2024,N,$38.79,2.26%,19.15%,41.79%
LABU,Sell to Open,04/26/2024,44,$215.00,$3.24,$2.53,$3.95,52%,,N,$143.60,2.26%,19.15%,49.72%
NFE,Sell to Open,04/19/2024,37,$35.00,$0.72,$0.60,$0.85,20%,05/02/2024,N,$32.36,2.24%,22.72%,8.16%
RWR,Sell to Open,04/19/2024,37,$100.00,$2.10,$0.30,$3.90,21%,,N,$94.18,2.23%,22.61%,6.18%
GTLB,Sell to Open,04/26/2024,44,$68.00,$1.22,$0.65,$1.80,54%,06/03/2024,N,$55.67,2.2%,18.68%,22.15%
SVIX,Sell to Open,04/26/2024,44,$46.00,$0.89,$0.40,$1.40,10%,,N,$41.18,2.19%,18.55%,11.7%
ALGM,Sell to Open,04/19/2024,37,$32.50,$0.64,$0.60,$0.70,15%,05/09/2024,N,$29.62,2.19%,22.25%,9.72%
ENPH,Sell to Open,04/26/2024,44,$150.00,$2.57,$2.30,$2.85,34%,04/23/2024,Y,$118.17,2.18%,18.5%,26.94%
PATH,Sell to Open,04/26/2024,44,$31.00,$0.52,$0.16,$0.89,71%,03/13/2024,Y,$24.43,2.15%,18.24%,26.89%
DOCS,Sell to Open,04/19/2024,37,$30.00,$0.60,$0.55,$0.65,16%,05/14/2024,N,$27.90,2.15%,21.8%,7.53%
HIMS,Sell to Open,04/19/2024,37,$18.00,$0.32,$0.30,$0.35,9%,05/06/2024,N,$15.12,2.15%,21.79%,19.05%
YOU,Sell to Open,04/19/2024,37,$22.00,$0.42,$0.40,$0.45,36%,05/07/2024,N,$19.86,2.14%,21.7%,10.78%
DLO,Sell to Open,04/19/2024,37,$23.00,$0.37,$0.30,$0.45,28%,03/18/2024,Y,$17.57,2.13%,21.64%,30.9%
JKS,Sell to Open,04/19/2024,37,$35.00,$0.57,$0.50,$0.65,61%,03/21/2024,Y,$27.67,2.08%,21.07%,26.49%
YPF,Sell to Open,04/26/2024,44,$21.00,$0.37,$0.30,$0.45,16%,05/09/2024,N,$18.11,2.07%,17.58%,15.96%
HOOD,Sell to Open,04/26/2024,44,$24.00,$0.35,$0.33,$0.38,61%,05/08/2024,N,$17.16,2.07%,17.56%,39.86%
ROKU,Sell to Open,04/26/2024,44,$80.00,$1.33,$1.12,$1.55,13%,04/24/2024,Y,$64.47,2.07%,17.58%,24.09%
ASO,Sell to Open,04/26/2024,44,$85.00,$1.42,$0.70,$2.15,50%,03/21/2024,Y,$69.31,2.06%,17.45%,22.64%
VXX,Sell to Open,04/26/2024,44,$21.00,$0.28,$0.10,$0.46,9%,,N,$13.56,2.06%,17.53%,54.87%
DXC,Sell to Open,04/19/2024,37,$22.00,$0.42,$0.40,$0.45,43%,05/15/2024,N,$20.74,2.05%,20.78%,6.08%
BYON,Sell to Open,04/26/2024,44,$45.00,$0.70,$0.60,$0.80,9%,04/25/2024,Y,$34.08,2.05%,17.44%,32.04%
BHC,Sell to Open,04/26/2024,44,$12.00,$0.19,$0.05,$0.33,22%,05/02/2024,N,$9.28,2.05%,17.38%,29.31%
YINN,Sell to Open,04/26/2024,44,$30.00,$0.42,$0.35,$0.50,51%,,N,$20.72,2.05%,17.41%,44.79%
INMD,Sell to Open,04/19/2024,37,$25.00,$0.45,$0.40,$0.50,51%,05/07/2024,N,$21.92,2.05%,20.81%,14.05%
CSIQ,Sell to Open,04/26/2024,44,$25.00,$0.40,$0.35,$0.45,96%,03/14/2024,Y,$19.56,2.04%,17.36%,27.81%
LMND,Sell to Open,04/26/2024,44,$22.00,$0.35,$0.30,$0.40,13%,05/01/2024,N,$17.23,2.03%,17.24%,27.68%
U,Sell to Open,04/26/2024,44,$33.00,$0.53,$0.10,$0.96,16%,05/08/2024,N,$26.18,2.02%,17.18%,26.05%
ARM,Sell to Open,04/26/2024,44,$185.00,$2.64,$2.47,$2.81,48%,05/08/2024,N,$131.27,2.01%,17.07%,40.93%
EWZ,Sell to Open,04/26/2024,44,$34.00,$0.65,$0.51,$0.80,9%,,N,$32.68,2%,17.01%,4.04%
VRT,Sell to Open,04/26/2024,44,$95.00,$1.45,$0.85,$2.05,19%,04/24/2024,Y,$73.37,1.98%,16.78%,29.48%
BILI,Sell to Open,04/26/2024,44,$16.00,$0.24,$0.12,$0.37,77%,06/06/2024,N,$12.51,1.96%,16.62%,27.9%
BNO,Sell to Open,04/19/2024,37,$32.00,$0.60,$0.50,$0.70,11%,,N,$30.58,1.96%,19.89%,4.64%
IOT,Sell to Open,04/26/2024,44,$45.00,$0.75,$0.65,$0.85,85%,06/06/2024,N,$38.36,1.96%,16.6%,17.31%
ZTO,Sell to Open,04/19/2024,37,$24.00,$0.42,$0.35,$0.50,62%,03/19/2024,Y,$21.67,1.96%,19.88%,10.75%
PDCO,Sell to Open,04/19/2024,37,$32.00,$0.52,$0.30,$0.75,24%,06/20/2024,N,$27.08,1.94%,19.66%,18.17%
NVDA,Sell to Open,04/26/2024,44,"$1,200.00",$17.50,$17.25,$17.75,30%,05/22/2024,N,$908.88,1.93%,16.34%,32.03%
VNO,Sell to Open,04/19/2024,37,$29.00,$0.50,$0.45,$0.55,12%,05/06/2024,N,$26.01,1.92%,19.49%,11.5%
USD,Sell to Open,04/19/2024,37,$125.00,$1.87,$1.70,$2.05,23%,,N,$98.28,1.91%,19.34%,27.19%
VSAT,Sell to Open,04/19/2024,37,$23.00,$0.35,$0.30,$0.40,35%,05/15/2024,N,$18.52,1.89%,19.16%,24.19%
SYM,Sell to Open,04/26/2024,44,$60.00,$0.85,$0.55,$1.15,9%,05/06/2024,N,$45.18,1.88%,15.97%,32.8%
DPST,Sell to Open,04/26/2024,44,$105.00,$1.37,$1.15,$1.60,10%,,N,$73.11,1.88%,15.96%,43.62%
SG,Sell to Open,04/19/2024,37,$26.00,$0.40,$0.35,$0.45,85%,05/09/2024,N,$21.37,1.87%,18.98%,21.67%
MIDD,Sell to Open,04/19/2024,37,$170.00,$2.90,$0.90,$4.90,20%,05/09/2024,N,$156.16,1.86%,18.83%,8.86%
ASAN,Sell to Open,04/26/2024,44,$27.00,$0.30,$0.30,$0.30,57%,05/30/2024,N,$16.26,1.85%,15.66%,66.05%
ERY,Sell to Open,04/19/2024,37,$26.00,$0.45,$0.40,$0.50,1%,,N,$24.29,1.85%,18.78%,7.04%
GLW,Sell to Open,04/26/2024,44,$34.00,$0.60,$0.50,$0.70,3%,04/23/2024,Y,$32.73,1.83%,15.56%,3.88%
DAR,Sell to Open,04/19/2024,37,$50.00,$0.82,$0.65,$1.00,48%,05/08/2024,N,$45.34,1.82%,18.45%,10.28%
SPHR,Sell to Open,04/26/2024,44,$60.00,$0.87,$0.75,$1.00,23%,05/08/2024,N,$48.32,1.81%,15.37%,24.17%
PLAY,Sell to Open,04/19/2024,37,$80.00,$1.12,$0.55,$1.70,31%,03/26/2024,Y,$62.54,1.8%,18.24%,27.92%
CCL,Sell to Open,04/26/2024,44,$20.00,$0.30,$0.28,$0.32,33%,03/27/2024,Y,$16.65,1.8%,15.29%,20.12%
CZR,Sell to Open,04/26/2024,44,$51.00,$0.74,$0.21,$1.28,36%,04/30/2024,N,$41.61,1.79%,15.2%,22.57%
SEDG,Sell to Open,04/26/2024,44,$90.00,$1.21,$1.04,$1.39,48%,05/02/2024,N,$67.85,1.79%,15.2%,32.65%
BOTZ,Sell to Open,04/19/2024,37,$33.00,$0.57,$0.50,$0.65,9%,,N,$32.08,1.79%,18.17%,2.87%
JNK,Sell to Open,04/26/2024,44,$95.00,$1.67,$0.40,$2.95,3%,,N,$94.82,1.77%,14.99%,0.19%
AI,Sell to Open,04/26/2024,44,$40.00,$0.53,$0.51,$0.56,11%,05/29/2024,N,$30.37,1.76%,14.95%,31.71%
USL,Sell to Open,04/19/2024,37,$40.00,$0.67,$0.55,$0.80,8%,,N,$38.43,1.76%,17.81%,4.08%
IWN,Sell to Open,04/19/2024,37,$165.00,$2.65,$0.50,$4.80,35%,,N,$153.69,1.72%,17.48%,7.36%
SRPT,Sell to Open,04/26/2024,44,$155.00,$2.10,$0.80,$3.40,3%,04/30/2024,N,$121.96,1.72%,14.62%,27.09%
AGQ,Sell to Open,04/19/2024,37,$35.00,$0.50,$0.45,$0.55,5%,,N,$29.05,1.72%,17.45%,20.48%
CELH,Sell to Open,04/26/2024,44,$120.00,$1.63,$1.33,$1.93,41%,05/07/2024,N,$96.11,1.7%,14.4%,24.86%
TSEM,Sell to Open,04/19/2024,37,$33.00,$0.52,$0.45,$0.60,4%,05/13/2024,N,$31.06,1.69%,17.14%,6.25%
NCLH,Sell to Open,04/26/2024,44,$22.50,$0.33,$0.31,$0.36,20%,04/29/2024,N,$19.87,1.69%,14.31%,13.24%
INTC,Sell to Open,04/26/2024,44,$52.00,$0.73,$0.53,$0.93,22%,04/25/2024,Y,$43.23,1.69%,14.33%,20.29%
IEMG,Sell to Open,04/19/2024,37,$52.00,$0.87,$0.75,$1.00,11%,,N,$51.72,1.69%,17.15%,0.54%
STX,Sell to Open,04/26/2024,44,$104.00,$1.50,$0.58,$2.42,36%,04/18/2024,Y,$88.67,1.69%,14.36%,17.29%
USFD,Sell to Open,04/19/2024,37,$55.00,$0.89,$0.85,$0.95,8%,05/09/2024,N,$53.50,1.68%,17.06%,2.8%
CAVA,Sell to Open,04/26/2024,44,$80.00,$1.10,$1.00,$1.20,2%,05/28/2024,N,$65.44,1.68%,14.27%,22.25%
CWH,Sell to Open,04/19/2024,37,$30.00,$0.45,$0.40,$0.50,16%,04/30/2024,N,$27.11,1.66%,16.83%,10.66%
GXO,Sell to Open,04/19/2024,37,$52.50,$0.82,$0.75,$0.90,12%,05/07/2024,N,$49.69,1.66%,16.83%,5.66%
AZN,Sell to Open,04/26/2024,44,$74.00,$1.12,$0.37,$1.87,19%,04/25/2024,Y,$67.58,1.66%,14.07%,9.5%
LVS,Sell to Open,04/26/2024,44,$61.00,$0.88,$0.32,$1.44,17%,04/17/2024,Y,$53.35,1.65%,14%,14.34%
LYFT,Sell to Open,04/26/2024,44,$23.00,$0.30,$0.26,$0.34,18%,05/02/2024,N,$18.26,1.64%,13.95%,25.96%
GPS,Sell to Open,04/26/2024,44,$26.00,$0.37,$0.34,$0.41,77%,05/23/2024,N,$22.92,1.64%,13.89%,13.44%
TECL,Sell to Open,04/19/2024,37,$95.00,$1.32,$1.25,$1.40,15%,,N,$80.88,1.64%,16.61%,17.46%
EWA,Sell to Open,04/19/2024,37,$25.00,$0.40,$0.35,$0.45,24%,,N,$24.59,1.63%,16.49%,1.67%
TRUP,Sell to Open,04/19/2024,37,$37.50,$0.47,$0.40,$0.55,30%,05/02/2024,N,$29.18,1.63%,16.5%,28.51%
BYD,Sell to Open,04/19/2024,37,$65.00,$1.02,$0.95,$1.10,16%,04/30/2024,N,$62.75,1.63%,16.56%,3.59%
QS,Sell to Open,04/26/2024,44,$9.50,$0.09,$0.03,$0.16,18%,04/24/2024,Y,$5.88,1.62%,13.71%,61.56%
HCP,Sell to Open,04/19/2024,37,$30.00,$0.42,$0.40,$0.45,72%,06/06/2024,N,$26.36,1.61%,16.35%,13.81%
ELF,Sell to Open,04/26/2024,44,$255.00,$3.30,$2.40,$4.20,38%,05/22/2024,N,$206.42,1.6%,13.57%,23.53%
RH,Sell to Open,04/26/2024,44,$380.00,$4.84,$4.40,$5.30,82%,03/27/2024,Y,$302.89,1.6%,13.59%,25.46%
CRSP,Sell to Open,04/26/2024,44,$95.00,$1.20,$0.95,$1.45,48%,05/06/2024,N,$74.78,1.6%,13.62%,27.04%
PPC,Sell to Open,04/19/2024,37,$34.00,$0.52,$0.50,$0.55,6%,04/24/2024,N,$32.98,1.59%,16.14%,3.09%
PDD,Sell to Open,04/26/2024,44,$165.00,$1.94,$1.86,$2.02,63%,03/18/2024,Y,$122.36,1.59%,13.46%,34.85%
AEM,Sell to Open,04/19/2024,37,$60.00,$0.87,$0.85,$0.90,22%,04/25/2024,N,$56.22,1.56%,15.78%,6.72%
EWU,Sell to Open,04/26/2024,44,$34.00,$0.52,$0.45,$0.60,2%,,N,$33.76,1.56%,13.2%,0.71%
LI,Sell to Open,04/26/2024,44,$48.00,$0.60,$0.53,$0.67,66%,05/09/2024,N,$38.41,1.56%,13.26%,24.97%
AG,Sell to Open,04/26/2024,44,$7.00,$0.08,$0.07,$0.10,63%,05/02/2024,N,$5.48,1.55%,13.17%,27.74%
SM,Sell to Open,04/19/2024,37,$50.00,$0.72,$0.65,$0.80,2%,04/25/2024,N,$46.82,1.55%,15.7%,6.79%
AU,Sell to Open,04/19/2024,37,$26.00,$0.35,$0.30,$0.40,54%,08/02/2024,N,$22.68,1.54%,15.65%,14.64%
DBA,Sell to Open,04/19/2024,37,$25.00,$0.35,$0.05,$0.65,16%,,N,$22.96,1.52%,15.46%,8.89%
SLG,Sell to Open,04/19/2024,37,$60.00,$0.77,$0.70,$0.85,9%,04/17/2024,Y,$51.15,1.52%,15.36%,17.3%
SIL,Sell to Open,04/19/2024,37,$29.00,$0.40,$0.35,$0.45,38%,,N,$26.29,1.52%,15.43%,10.31%
ALGN,Sell to Open,04/26/2024,44,$390.00,$4.84,$4.30,$5.40,16%,04/24/2024,Y,$320.69,1.51%,12.84%,21.61%
BIIB,Sell to Open,04/26/2024,44,$255.00,$3.42,$0.45,$6.40,39%,04/23/2024,Y,$226.56,1.51%,12.83%,12.55%
TSM,Sell to Open,04/26/2024,44,$175.00,$2.14,$1.93,$2.36,51%,04/18/2024,Y,$142.14,1.51%,12.81%,23.12%
AMKR,Sell to Open,04/19/2024,37,$37.00,$0.50,$0.45,$0.55,24%,04/29/2024,N,$33.08,1.51%,15.32%,11.85%
CTRA,Sell to Open,04/26/2024,44,$28.00,$0.40,$0.35,$0.45,6%,05/02/2024,N,$26.68,1.5%,12.73%,4.95%
AMD,Sell to Open,04/26/2024,44,$240.00,$2.89,$2.79,$3.00,62%,04/30/2024,N,$194.79,1.49%,12.62%,23.21%
BK,Sell to Open,04/19/2024,37,$57.50,$0.82,$0.75,$0.90,7%,04/16/2024,Y,$55.28,1.49%,15.13%,4.02%
CLF,Sell to Open,04/26/2024,44,$23.50,$0.30,$0.26,$0.35,0%,04/22/2024,Y,$20.43,1.49%,12.67%,15.03%
CC,Sell to Open,04/26/2024,44,$32.00,$0.40,$0.30,$0.50,100%,03/15/2024,Y,$26.84,1.49%,12.65%,19.23%
LSCC,Sell to Open,04/19/2024,37,$90.00,$1.14,$1.10,$1.20,10%,04/29/2024,N,$77.94,1.48%,14.96%,15.47%
AMR,Sell to Open,04/19/2024,37,$380.00,$4.59,$4.10,$5.10,57%,05/06/2024,N,$313.83,1.47%,14.86%,21.08%
APA,Sell to Open,04/26/2024,44,$36.00,$0.48,$0.37,$0.59,9%,05/01/2024,N,$32.56,1.47%,12.51%,10.57%
OTIS,Sell to Open,04/19/2024,37,$100.00,$1.42,$1.35,$1.50,4%,04/24/2024,N,$98.30,1.45%,14.7%,1.73%
XLY,Sell to Open,04/26/2024,44,$193.00,$2.62,$0.44,$4.80,15%,,N,$180.99,1.45%,12.29%,6.64%
PLTR,Sell to Open,04/26/2024,44,$31.50,$0.36,$0.35,$0.37,13%,05/06/2024,N,$25.00,1.44%,12.22%,26%
VTR,Sell to Open,04/19/2024,37,$45.00,$0.62,$0.60,$0.65,20%,05/06/2024,N,$43.40,1.44%,14.6%,3.69%
TSLA,Sell to Open,04/26/2024,44,$210.00,$2.43,$2.37,$2.50,6%,04/17/2024,Y,$169.48,1.44%,12.2%,23.91%
IPG,Sell to Open,04/19/2024,37,$35.00,$0.47,$0.40,$0.55,20%,04/25/2024,N,$33.03,1.44%,14.58%,5.96%
ATKR,Sell to Open,04/19/2024,37,$210.00,$2.52,$0.35,$4.70,17%,05/07/2024,N,$176.13,1.43%,14.54%,19.23%
OKTA,Sell to Open,04/26/2024,44,$130.00,$1.56,$0.75,$2.38,27%,05/29/2024,N,$109.66,1.43%,12.11%,18.55%
MRVL,Sell to Open,04/26/2024,44,$81.00,$0.96,$0.91,$1.01,93%,05/30/2024,N,$67.63,1.42%,12.05%,19.77%
UGA,Sell to Open,04/19/2024,37,$76.00,$0.97,$0.25,$1.70,3%,,N,$69.13,1.41%,14.3%,9.94%
DRV,Sell to Open,04/19/2024,37,$45.00,$0.50,$0.45,$0.55,23%,,N,$35.76,1.4%,14.18%,25.84%
XLK,Sell to Open,04/26/2024,44,$222.50,$2.92,$1.09,$4.75,21%,,N,$208.74,1.4%,11.87%,6.59%
DG,Sell to Open,04/26/2024,44,$185.00,$2.21,$1.84,$2.58,91%,03/14/2024,Y,$158.17,1.4%,11.86%,16.96%
MBLY,Sell to Open,04/19/2024,37,$35.00,$0.40,$0.35,$0.45,29%,04/25/2024,N,$28.75,1.39%,14.11%,21.74%
JLL,Sell to Open,04/19/2024,37,$230.00,$2.57,$0.35,$4.80,32%,05/02/2024,N,$184.80,1.39%,14.13%,24.46%
RRC,Sell to Open,04/19/2024,37,$35.00,$0.45,$0.40,$0.50,14%,04/22/2024,N,$32.37,1.39%,14.09%,8.12%
CLS,Sell to Open,04/19/2024,37,$55.00,$0.62,$0.55,$0.70,31%,04/24/2024,N,$45.03,1.39%,14.07%,22.14%
MOS,Sell to Open,04/26/2024,44,$35.00,$0.44,$0.41,$0.48,11%,05/02/2024,N,$31.95,1.39%,11.82%,9.55%
ANF,Sell to Open,04/26/2024,44,$155.00,$1.75,$1.45,$2.05,91%,05/29/2024,N,$125.97,1.39%,11.79%,23.05%
RMBS,Sell to Open,04/19/2024,37,$72.50,$0.85,$0.75,$0.95,39%,04/29/2024,N,$61.51,1.38%,14.01%,17.87%
AEO,Sell to Open,04/26/2024,44,$26.00,$0.32,$0.27,$0.37,83%,05/22/2024,N,$23.21,1.38%,11.7%,12.02%
UCO,Sell to Open,04/26/2024,44,$36.00,$0.42,$0.30,$0.55,14%,,N,$30.87,1.38%,11.69%,16.62%
MKSI,Sell to Open,04/19/2024,37,$145.00,$1.72,$1.15,$2.30,35%,05/01/2024,N,$124.82,1.38%,14.01%,16.17%
STAA,Sell to Open,04/19/2024,37,$47.50,$0.52,$0.45,$0.60,36%,05/01/2024,N,$38.15,1.38%,13.95%,24.51%
TXT,Sell to Open,04/19/2024,37,$95.00,$1.27,$1.20,$1.35,15%,04/25/2024,N,$92.18,1.38%,14.02%,3.06%
AMBA,Sell to Open,04/26/2024,44,$62.00,$0.72,$0.65,$0.80,20%,05/28/2024,N,$53.06,1.37%,11.6%,16.85%
MRO,Sell to Open,04/26/2024,44,$28.00,$0.35,$0.22,$0.49,10%,05/08/2024,N,$25.90,1.37%,11.63%,8.11%
SPOT,Sell to Open,04/26/2024,44,$310.00,$3.52,$3.30,$3.75,9%,04/30/2024,N,$257.26,1.37%,11.63%,20.5%
DELL,Sell to Open,04/26/2024,44,$126.00,$1.50,$0.70,$2.30,85%,05/30/2024,N,$110.00,1.36%,11.58%,14.55%
TQQQ,Sell to Open,04/26/2024,44,$71.00,$0.82,$0.62,$1.02,14%,,N,$60.44,1.36%,11.52%,17.47%
TOST,Sell to Open,04/26/2024,44,$30.00,$0.34,$0.30,$0.38,15%,05/07/2024,N,$25.09,1.36%,11.5%,19.57%
ULTA,Sell to Open,04/26/2024,44,$640.00,$7.70,$5.50,$9.90,67%,03/14/2024,Y,$567.18,1.36%,11.52%,12.84%
CAR,Sell to Open,04/26/2024,44,$140.00,$1.52,$1.15,$1.90,53%,04/29/2024,N,$113.10,1.35%,11.45%,23.78%
